                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.00946,                 1.2488,                 1.2498,                0.98437,                 0.9603,                0.97823,                0.84179,                0.00793,                 0.6335,                 1.0396,              0.0032923,              0.0032923,              0.0032923
                     71,                0.00938,                 1.2355,                 1.2445,                0.98396,                0.96021,                0.97746,                0.84107,                0.00789,                0.64321,                 1.0398,              0.0032675,              0.0032675,              0.0032675
                     72,                 0.0094,                 1.2281,                 1.2398,                0.98411,                0.96286,                0.97884,                0.84164,                0.00793,                0.64271,                  1.036,              0.0032428,              0.0032428,              0.0032428
                     73,                0.00942,                 1.2434,                 1.2487,                0.98673,                0.96036,                0.97871,                0.84246,                0.00793,                0.63579,                 1.0397,               0.003218,               0.003218,               0.003218
                     74,                0.00943,                 1.2337,                 1.2337,                0.98478,                0.96362,                0.98008,                 0.8458,                0.00781,                0.62895,                 1.0235,              0.0031933,              0.0031933,              0.0031933
                     75,                 0.0094,                 1.2272,                 1.2489,                  0.984,                 0.9597,                0.97709,                0.84516,                0.00776,                0.62209,                 1.0333,              0.0031685,              0.0031685,              0.0031685
                     76,                0.00925,                 1.1992,                 1.2352,                 0.9858,                0.96273,                0.97853,                0.84701,                0.00773,                0.62335,                 1.0321,              0.0031438,              0.0031438,              0.0031438
                     77,                0.00928,                 1.2104,                 1.2374,                0.98693,                0.96397,                0.97988,                0.84867,                0.00769,                0.60809,                  1.031,               0.003119,               0.003119,               0.003119
                     78,                0.00926,                 1.2035,                  1.237,                0.98738,                 0.9632,                   0.98,                0.84738,                0.00775,                0.60668,                 1.0299,              0.0030943,              0.0030943,              0.0030943
                     79,                 0.0093,                 1.1986,                 1.2299,                0.98589,                0.96211,                0.97947,                0.84988,                0.00756,                0.60363,                 1.0158,              0.0030695,              0.0030695,              0.0030695
                     80,                0.00924,                 1.1824,                 1.2234,                0.98759,                0.96401,                0.98067,                0.85217,                 0.0076,                0.59487,                 1.0174,              0.0030448,              0.0030448,              0.0030448
                     81,                0.00916,                 1.1884,                 1.2178,                0.98715,                0.96302,                0.98017,                0.85191,                0.00753,                0.59346,                 1.0129,                0.00302,                0.00302,                0.00302
                     82,                0.00923,                 1.1918,                 1.2238,                0.98513,                0.96447,                  0.981,                0.85663,                0.00741,                0.59034,                 1.0025,              0.0029953,              0.0029953,              0.0029953
                     83,                 0.0092,                 1.1865,                 1.2194,                0.98844,                0.96266,                0.98026,                0.85592,                0.00741,                0.58732,                0.99706,              0.0029705,              0.0029705,              0.0029705
                     84,                0.00917,                 1.1811,                 1.2222,                0.98841,                 0.9644,                0.98095,                0.85382,                0.00753,                0.59261,                 1.0017,              0.0029458,              0.0029458,              0.0029458
                     85,                0.00913,                 1.1857,                 1.2297,                0.98838,                0.96602,                0.98188,                0.85254,                0.00756,                0.58758,                 1.0067,               0.002921,               0.002921,               0.002921
                     86,                0.00915,                 1.2014,                 1.2346,                0.99085,                0.96503,                 0.9817,                0.85614,                0.00746,                0.58209,                 1.0057,              0.0028962,              0.0028962,              0.0028962
                     87,                0.00913,                 1.1675,                 1.2145,                0.98948,                0.96664,                0.98252,                0.85879,                0.00742,                 0.5756,                0.99874,              0.0028715,              0.0028715,              0.0028715
